job_title,job_company_name,job_location,job_salary,job_details,job_date,today_date
.Net Architect / UI Developer (8+ Years),Applied Materials Inc.,"Bengaluru, Karnataka",Salary Not Mentioned,"Pro-actively look for opportunities for continuous improvement by deploying new tools, libraries, software that significantly improve the product development…",30+ days ago,21-07-21
,OnFn Technologies Private Limited,"Bengaluru, Karnataka•Temporarily Remote","₹5,50,000 - ₹10,00,000 a year","Develop scalable front end engineering, for largest FinTech companies in India who use our product.
Work closely with the design and backend team to build and…",7 days ago,21-07-21
JUNIOR WEB DEVELOPER,Harman International,"Bengaluru, Karnataka",Salary Not Mentioned,Demonstrated experience executing integration tests across multiple tiers of an application to guarantee end-to-end functionality of a solution.,18 days ago,21-07-21
Front End Engineer,Meredith Corporation,"Bengaluru, Karnataka",Salary Not Mentioned,"Translation of designer mock-ups and templates into digital content.
Opportunities to work on the frameworks and Apple News technologies.",30+ days ago,21-07-21
Front-end (Reactjs) - Internet Company - SDE1/2/3,Wise Monk,"Bengaluru, Karnataka","₹30,00,000 a year","1-10 years of professional non-internship experience with the front end, web, or mobile software development using **Reactjs**, JavaScript, HTML, and CSS3.",30+ days ago,21-07-21
,Increasingly Technologies,"Bengaluru, Karnataka•Temporarily Remote","₹2,86,828 - ₹4,50,000 a year","Proven work experience as a Javascript/Front-end developer, at least 2 years.
Full stack development with any one of the Node.js/Express.js/Sails.js, with front…",8 days ago,21-07-21
UI (Front-end) Developer,zoojoo.be,"Bengaluru, Karnataka",Salary Not Mentioned,"Your technical expertise will help us design, develop, test, deploy, and enhance our product.
You will work very closely with our UX team to ensure that our…",30+ days ago,21-07-21
Front End Developer,Josh Software Pvt Ltd,"Bengaluru, Karnataka•Temporarily Remote","₹3,76,541 - ₹16,05,902 a year",Total work: 4 years (Preferred).,30+ days ago,21-07-21
,Goldklix Business Services Pvt Ltd,"Bengaluru, Karnataka•Temporarily Remote",Salary Not Mentioned,"Experience in MySQL, PHP, HTML5 stack.
Temporarily due to COVID-19.",7 days ago,21-07-21
Front End Developer,RupeeX,"Bengaluru, Karnataka",Salary Not Mentioned,The qualified candidate is an energetic self-starter with a strong technical background in managing servers in a distributed environment.,30+ days ago,21-07-21
Front End Developer,Eurasiayan Business Concepts Private Limited,"Bengaluru, Karnataka•Temporarily Remote","₹3,00,000 - ₹5,00,000 a year","In this role, you will own solutions from design and development of different features of knowtified.
You will be responsible for holding the code quality high,…",30+ days ago,21-07-21
Developer - Javascript,Jivox,"Bengaluru, Karnataka•Temporarily Remote","₹3,50,000 - ₹7,50,000 a year","Shift Timings: 1pm-10pm / 7pm-4am.
Relevant experience in Javascript: Min 1 year.
Hands-on in HTML5 and CSS3 and JavaScript.
Temporarily due to COVID-19.",30+ days ago,21-07-21
Front End Developer,"Quor Technologies, Inc.","Bengaluru, Karnataka•Remote",Salary Not Mentioned,"_A full-time long-term project with an exciting venture-funded startup out of the US (Silicon Valley, NYC, Tel Aviv, and India) and a giant media/tech Partner…",12 days ago,21-07-21
Angular and Front End Expert,Fundexpert.in,"Bengaluru, Karnataka•Remote","₹3,50,000 - ₹6,00,000 a year","As a lead developer, you will be responsible for creating a top-level coding-base using Angular best practices.
Total work: 2 years (Preferred).",29 days ago,21-07-21
